보드,코드,DTC,이름,판정조건,타임아웃_ms,confirm_ms,heal_ms,경고,총검출시간_ms,실측_detect_ms,프리즈프레임,비고
Front_H723,0xC100,U0100,존간 링크 상실,front_rear_link_alive == 0 (REAR_STATUS 300ms 무수신),300,1000,2000,O,1300,1000 (장치보고),O,후방등 제어 불능
Front_H723,0xC300,U0300,호스트 링크 상실,front_jetson_command_alive == 0 (명령 500ms 무수신),500,1500,3000,X,2000,1500 (장치보고),-,로컬 제어로 복귀
Front_H723,0xC003,U0003,하위노드 버스오프,f407_can_busoff != 0 (F407이 0x21E로 보고),-,500,3000,O,500,미측정,-,F407이 보고. 링크 죽으면 보고 자체가 끊김 -> P0510이 보완
Front_H723,0x0510,P0510,하위노드 신호 두절,브레이크 수신 카운터 300ms 정체 (0x211은 20ms 주기),300,1000,2000,O,1300,미측정,-,링크 사망을 실제로 잡는 항목
Front_H723,0x0503,P0503,DHT11 온습도 무효,f407_dht11_valid == 0,-,5000,5000,X,5000,미측정,-,편의 기능이라 경고 없음
Rear_H723,0xC100,U0100,존간 링크 상실,rear_front_link_alive == 0 (FRONT_STATE 300ms 무수신),300,1000,2000,O,1300,1000 (장치보고),O,램프 제어 불능
Rear_H723,0xC300,U0300,호스트 링크 상실,rear_jetson_command_alive == 0 (명령 500ms 무수신),500,1500,3000,X,2000,1500 (장치보고),-,
Rear_H723,0xC001,U0001,CAN500 링크 사망,BusOff 또는 수신 2000ms 두절 (CAN_LinkDead),2000,500,3000,O,2500,500 (장치보고),-,BusOff 단독 판정은 상대 소실을 놓침 -> 수신두절 추가 (METRICS 5-k)
Rear_H723,0xC002,U0002,CAN250 링크 사망,BusOff 또는 수신 2000ms 두절 (CAN_LinkDead),2000,500,3000,O,2500,미측정,-,램프 버스
Rear_H723,0x0500,P0500,초음파 두절,0x312 수신 3000ms 정체 (Rear_SensorLost),3000,2000,3000,O,5000,미측정,-,60ms 주기 신호
Rear_H723,0x0501,P0501,IMU 두절,0x301 수신 3000ms 정체 (Rear_SensorLost),3000,5000,5000,X,8000,미측정,-,비주기 전송이라 confirm 길게
Rear_H723,0x0502,P0502,토글스위치 두절,0x311 수신 3000ms 정체 (Rear_SensorLost),3000,2000,3000,X,5000,미측정,-,100ms 주기 신호
(미구현),0xC002,U0002,CAN250 버스오프,Front측 미구현,-,-,-,-,-,-,-,Front는 U0003(하위노드 보고)로 대체
(미구현),0xC200,U0200,프레임 무결성 오류,정의만 있고 사용 안 함,-,-,-,-,-,-,-,can250_rx_bad_count 급증 감시 후보
(미구현),0xC101,U0101,Front 텔레메트리 두절,Jetson측 판정 예정,-,-,-,-,-,-,-,게이트웨이가 ECU 무응답을 판정
(미구현),0xC102,U0102,Rear 텔레메트리 두절,Jetson측 판정 예정,-,-,-,-,-,-,-,
