보드,구간,종류,min_us,max_us,avg_us,표본수,측정여부,비고
Front_H723,메인루프 1바퀴,주기,53,539,72,9272705,실측,"슈퍼루프. 약 13,900 Hz"
Front_H723,MX_LWIP_Process(),실행시간,4,293,20,8478120,실측,RTOS 판에서 측정. 슈퍼루프도 유사
Front_H723,FDCAN RX ISR,실행시간,7,13,,135606,실측,METRICS 6절 baseline
Front_H723,지령변화->CAN송신,지연,16,79,29,302,실측,이벤트 트리거 적용 후
Front_H723,지령변화->종단반영,지연,662,29791,6911,300,실측,CAN 왕복+텔레메트리 포함
Front_H723,ACK RTT (Jetson왕복),지연,201,1798,456,2000,실측,p50 251 / p95 903 / p99 975 us
Rear_H723,지령변화->CAN송신,지연,17,18,17,300,실측,이벤트 트리거 적용 후
Rear_H723,지령변화->텔레메트리,지연,80,99,82,300,실측,RearBody 피드백 없어 지령만 관측
Rear_H723,메인루프 1바퀴,주기,,,,,미측정,perf_loop_period 존재. 읽기만 하면 됨
F407_Front,DHT11 IRQ 차단,차단시간,,4098,,,실측,개선 전 23085 us
Front_H723,App_CanStep(),실행시간,,,,,미측정,함수 단위 계측 미도입
Front_H723,App_NetStep(),실행시간,,,,,미측정,함수 단위 계측 미도입
Front_H723,FrontTelemetry_Process(),실행시간,,,,,미측정,UDP 송신 포함 구간
Front_H723,Front_ReportDiagnostics(),실행시간,,,,,미측정,DTC 판정 5건
Rear_H723,Rear_ReportDiagnostics(),실행시간,,,,,미측정,DTC 판정 7건
Rear_H723,FDCAN RX ISR,실행시간,,,,,미측정,Front 는 7~13 us. 유사 예상
F446,초음파 측정,실행시간,,,,,미측정,에코 대기 블로킹 가능성
전 보드,플래시 섹터 소거(128KB),차단시간,,,,,미측정,RTOS 필요성 판단의 핵심 값
