metric,i,rtt_ms
ack,0,0.3764
ack,1,0.2575
ack,2,0.2603
ack,3,0.2628
ack,4,0.2481
ack,5,0.2310
ack,6,0.2293
ack,7,0.2327
ack,8,0.2461
ack,9,0.2373
ack,10,0.2162
ack,11,0.2052
ack,12,0.2304
ack,13,0.2470
ack,14,0.2170
ack,15,0.4166
ack,16,0.2443
ack,17,0.2143
ack,18,0.2221
ack,19,0.2385
ack,20,0.2174
ack,21,0.2484
ack,22,0.2371
ack,23,0.2242
ack,24,0.2331
ack,25,0.2488
ack,26,0.2232
ack,27,0.2289
ack,28,0.2455
ack,29,0.2360
ack,30,0.2082
ack,31,0.2321
ack,32,0.1951
ack,33,0.2326
ack,34,0.2305
ack,35,0.2266
ack,36,0.2469
ack,37,0.2406
ack,38,0.2360
ack,39,0.2443
ack,40,0.2035
ack,41,0.2335
ack,42,0.2260
ack,43,0.2460
ack,44,0.2330
ack,45,0.2260
ack,46,0.2259
ack,47,0.2322
ack,48,0.2087
ack,49,0.2346
ack,50,0.2108
ack,51,0.2249
ack,52,0.2051
ack,53,0.2316
ack,54,0.2324
ack,55,0.2033
ack,56,0.2574
ack,57,0.2121
ack,58,0.2208
ack,59,0.2277
ack,60,0.2218
ack,61,0.2504
ack,62,0.2260
ack,63,0.2382
ack,64,0.2210
ack,65,0.2001
ack,66,0.1863
ack,67,0.2179
ack,68,0.2446
ack,69,0.2409
ack,70,0.2676
ack,71,0.2613
ack,72,0.2364
ack,73,0.2250
ack,74,0.2347
ack,75,0.2007
ack,76,0.2312
ack,77,0.2241
ack,78,0.2042
ack,79,0.2063
ack,80,0.2269
ack,81,0.2622
ack,82,0.2199
ack,83,0.2233
ack,84,0.2056
ack,85,0.2107
ack,86,0.2248
ack,87,0.2271
ack,88,0.2275
ack,89,0.2276
ack,90,0.2279
ack,91,0.2544
ack,92,0.2606
ack,93,0.3371
ack,94,0.2937
ack,95,0.2756
ack,96,0.2886
ack,97,0.2728
ack,98,0.2255
ack,99,0.2577
ack,100,0.2356
ack,101,0.2471
ack,102,0.2554
ack,103,0.2502
ack,104,0.2237
ack,105,0.3430
ack,106,0.2411
ack,107,0.2649
ack,108,0.2543
ack,109,0.2360
ack,110,0.2383
ack,111,0.2447
ack,112,0.2484
ack,113,0.2379
ack,114,0.2633
ack,115,0.2528
ack,116,0.2996
ack,117,0.2780
ack,118,0.2306
ack,119,0.2455
ack,120,0.2367
ack,121,0.2351
ack,122,0.2308
ack,123,0.2300
ack,124,0.2470
ack,125,0.2690
ack,126,0.2178
ack,127,0.2231
ack,128,0.2596
ack,129,0.2380
ack,130,0.2667
ack,131,0.2562
ack,132,0.2489
ack,133,0.2602
ack,134,0.2088
ack,135,0.2483
ack,136,0.2548
ack,137,0.2690
ack,138,0.2553
ack,139,0.2447
ack,140,0.2274
ack,141,0.2371
ack,142,0.2536
ack,143,0.2378
ack,144,0.2603
ack,145,0.2614
ack,146,0.2531
ack,147,0.2318
ack,148,0.2533
ack,149,0.2365
ack,150,0.2397
ack,151,0.2439
ack,152,0.2402
ack,153,0.2496
ack,154,0.2215
ack,155,0.2280
ack,156,0.2496
ack,157,0.2296
ack,158,0.2556
ack,159,0.2407
ack,160,0.2232
ack,161,0.2526
ack,162,0.2371
ack,163,0.2452
ack,164,0.2553
ack,165,0.2226
ack,166,0.2822
ack,167,0.2567
ack,168,0.2058
ack,169,0.2313
ack,170,0.2532
ack,171,0.2185
ack,172,0.2315
ack,173,0.2467
ack,174,0.2874
ack,175,0.2466
ack,176,0.2682
ack,177,0.2327
ack,178,0.2358
ack,179,0.2446
ack,180,0.2337
ack,181,0.2396
ack,182,0.2311
ack,183,0.2260
ack,184,0.2511
ack,185,0.2296
ack,186,0.2294
ack,187,0.2264
ack,188,0.2359
ack,189,0.3225
ack,190,0.2484
ack,191,0.2565
ack,192,0.3008
ack,193,0.2807
ack,194,0.2506
ack,195,0.2416
ack,196,0.2634
ack,197,0.2502
ack,198,0.2556
ack,199,0.2347
ack,200,0.2512
ack,201,0.2403
ack,202,0.1979
ack,203,0.2268
ack,204,0.2944
ack,205,0.2748
ack,206,0.2578
ack,207,0.2535
ack,208,0.2542
ack,209,0.2477
ack,210,0.2259
ack,211,0.2575
ack,212,0.2651
ack,213,0.2565
ack,214,0.2561
ack,215,0.2782
ack,216,0.2423
ack,217,0.2568
ack,218,0.2556
ack,219,0.2605
ack,220,0.2593
ack,221,0.2329
ack,222,0.2540
ack,223,0.2612
ack,224,0.2399
ack,225,0.2570
ack,226,0.2500
ack,227,0.2186
ack,228,0.2972
ack,229,0.2606
ack,230,0.2523
ack,231,0.2610
ack,232,0.2503
ack,233,0.2139
ack,234,0.2685
ack,235,0.3014
ack,236,0.2723
ack,237,0.2569
ack,238,0.2465
ack,239,0.2294
ack,240,0.2376
ack,241,0.2499
ack,242,0.2332
ack,243,0.2459
ack,244,0.2347
ack,245,0.2481
ack,246,0.2369
ack,247,0.2371
ack,248,0.2278
ack,249,0.2496
ack,250,0.2306
ack,251,0.2417
ack,252,0.2391
ack,253,0.2717
ack,254,0.3039
ack,255,0.2492
ack,256,0.2278
ack,257,0.2351
ack,258,0.2312
ack,259,0.2407
ack,260,0.2276
ack,261,0.2326
ack,262,0.2352
ack,263,0.2687
ack,264,0.2571
ack,265,0.2357
ack,266,0.2455
ack,267,0.2460
ack,268,0.2414
ack,269,0.2535
ack,270,0.2279
ack,271,0.2470
ack,272,0.2524
ack,273,0.2257
ack,274,0.2325
ack,275,0.2362
ack,276,0.2367
ack,277,0.2319
ack,278,0.2317
ack,279,0.2453
ack,280,0.2321
ack,281,0.2419
ack,282,0.2226
ack,283,0.2412
ack,284,0.2480
ack,285,0.2259
ack,286,0.3283
ack,287,0.2625
ack,288,0.2669
ack,289,0.2497
ack,290,0.3075
