보드,방향,상대,채널,ID/포트,신호,바이트,주기_ms,트리거,근거
Front_H723,TX,F407_Front,CAN 250k,0x310,steering_override,1,100,이벤트+주기(최소간격10ms),FRONT_COMMAND_TX_PERIOD_MS
Front_H723,TX,F407_Front,CAN 250k,0x311,actuator_enable,1,100,이벤트+주기(최소간격10ms),FRONT_COMMAND_TX_PERIOD_MS
Front_H723,TX,F407_Front,CAN 250k,0x312,actuator_target,2,100,이벤트+주기(최소간격10ms),FRONT_COMMAND_TX_PERIOD_MS
Front_H723,TX,F407_Front,CAN 250k,0x313,headlamp_override,1,100,이벤트+주기(최소간격10ms),FRONT_COMMAND_TX_PERIOD_MS
Front_H723,TX,F407_Front,CAN 250k,0x314,headlamp_command,1,100,이벤트+주기(최소간격10ms),FRONT_COMMAND_TX_PERIOD_MS
Front_H723,TX,F407_Front,CAN 250k,0x315,turn_override,1,100,이벤트+주기(최소간격10ms),FRONT_COMMAND_TX_PERIOD_MS
Front_H723,TX,F407_Front,CAN 250k,0x316,turn_mode,1,100,이벤트+주기(최소간격10ms),FRONT_COMMAND_TX_PERIOD_MS
Front_H723,TX,F407_Front,CAN 250k,0x201,ping,8,500,주기,CAN250_TX_PERIOD_MS
Front_H723,RX,F407_Front,CAN 250k,0x210,steering_adc,2,20,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x211,brake_adc,2,20,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x212,accel_adc,2,20,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x213,turn_left_output,1,50,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x214,turn_right_output,1,50,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x215,turn_switch,1,50,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x216,headlamp_output,1,50,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x217,temperature_x10,2,1000,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x218,humidity_x10,2,1000,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x219,dht11_valid,1,1000,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x21A,actuator_position,2,20,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x21B,actuator_enable_st,1,50,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x21C,steering_override_st,1,50,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x21D,headlamp_override_st,1,50,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x21E,can_busoff,1,100,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,F407_Front,CAN 250k,0x281,ping_echo,8,500,주기(ISR수신),CAN_PERIOD_* (F407측)
Front_H723,RX,Jetson,UDP,5101,FRONT_COMMAND,12,0,이벤트,zone_udp_protocol.h
Front_H723,TX,Jetson,UDP,5101,ACK 반향,12,0,수신 시 즉시,COMM_ICD 2.6
Front_H723,TX,Jetson,UDP,5102,'SV' 텔레메트리,28,100,이벤트+주기(최소간격10ms),FT_PERIOD_MS
Front_H723,TX,Jetson,UDP,5104,'SP' perf,104,1000,주기,FT_PERF_PERIOD_MS
Front_H723,TX,Jetson,UDP,5105,'SD' DTC,232,1000,상태변화 시 즉시+하트비트,diagnostic.c
Front_H723,TX,Rear_H723,UDP,5003,FRONT_STATE,12,50,주기,FRONT_STATE_TX_PERIOD_MS
