"Ref","Value","Footprint","Qty"
"C1,C2,C16-C27","100n","Capacitor_SMD:C_0805_2012Metric","14"
"C7-C11","4n7","Capacitor_SMD:C_0805_2012Metric","5"
"C12,C13","10u","Capacitor_SMD:C_0805_2012Metric","2"
"C14,C15","1u","Capacitor_SMD:C_0805_2012Metric","2"
"C26,C27","2u2","Capacitor_SMD:C_0805_2012Metric","2"
"C28-C31","20p","Capacitor_SMD:C_0805_2012Metric","4"
"D1","LED_L","LED_THT:LED_D5.0mm","1"
"D2","LED_R","LED_THT:LED_D5.0mm","1"
"D3","LED_B","LED_THT:LED_D5.0mm","1"
"D4","LED_S","LED_THT:LED_D5.0mm","1"
"D5","PWR","LED_THT:LED_D5.0mm","1"
"J1","VIN 5V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1"
"J2","H723 NUCLEO-144","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"J3","SWD - U1 REAR BODY","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"J4","SWD - U2 NODE","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"J5","CAN-H 500k -> MOTOR","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J6","CAN-L 250k SPARE","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J7","HC-SR04 (5V)","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"J8","BNO085 IMU","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"J9","UART CONSOLE (U2)","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"JP1-JP5","TERM","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","5"
"R1","1k","Resistor_SMD:R_0805_2012Metric","1"
"R2,R3,R18","10k","Resistor_SMD:R_0805_2012Metric","3"
"R4-R13","60R","Resistor_SMD:R_0805_2012Metric","10"
"R14-R17","330R","Resistor_SMD:R_0805_2012Metric","4"
"R19,R20","4k7","Resistor_SMD:R_0805_2012Metric","2"
"SW1","SW","Button_Switch_THT:SW_PUSH_6mm","1"
"U1,U2","STM32F446RET6","Package_QFP:LQFP-64_10x10mm_P0.5mm","2"
"U3-U6","SN65HVD230","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","4"
"U7","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1"
"Y1,Y2","8MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","2"
